what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1366251012228
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1366251012230
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1366251012231
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1366251012232
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1366251012232
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1366251012234
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1366251012235
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1366251012236
os,sysinfo,,,"linux",1366251012241
arch,sysinfo,,,"x86_64",1366251012241
ws,sysinfo,,,"gtk",1366251012241
locale,sysinfo,,,"en_US",1366251012241
processors,sysinfo,,,"4",1366251012241
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1366251012241
java.runtime.version,sysinfo,,,"1.7.0_13-b20",1366251012241
java.specification.name,sysinfo,,,"Java Platform API Specification",1366251012241
java.specification.vendor,sysinfo,,,"Oracle Corporation",1366251012241
java.specification.version,sysinfo,,,"1.7",1366251012241
java.vendor,sysinfo,,,"Oracle Corporation",1366251012241
java.version,sysinfo,,,"1.7.0_13",1366251012241
java.vm.info,sysinfo,,,"mixed mode",1366251012241
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1366251012241
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1366251012241
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1366251012241
java.vm.specification.version,sysinfo,,,"1.7",1366251012241
java.vm.vendor,sysinfo,,,"Oracle Corporation",1366251012241
java.vm.version,sysinfo,,,"23.7-b01",1366251012241
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1366251012246
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1366251012373
opened,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ProjectsView",1366251021306
opened,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackagesView",1366251021357
opened,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.TypesView",1366251021384
opened,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.MembersView",1366251021415
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaBrowsingPerspective",1366251021468
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1366251021486
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaBrowsingPerspective",1366251021486
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackagesView",1366251024621
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.TypesView",1366251026702
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.MembersView",1366251028222
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366251031567
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.MembersView",1366251035469
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366251039470
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366251040692
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366251041489
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366251201545
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366251203077
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1366251217818
started,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1366251217860
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366251217938
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1366251218030
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1366251218089
error,log,,,"Unhandled event loop exception",1366251225472
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366251225510
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1366251228040
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1366251228703
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.MembersView",1366251230710
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366251230712
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.TypesView",1366251232582
closed,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.MembersView",1366251232583
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackagesView",1366251233750
closed,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.TypesView",1366251233752
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ProjectsView",1366251235104
closed,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackagesView",1366251235106
closed,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ProjectsView",1366251237865
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366251240197
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366251241359
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1366251241638
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1366251241849
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1366251241851
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1366251241852
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1366251241854
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1366251241855
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1366251241856
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1366251241857
